Time(ms),AccX,AccY,AccZ,ADC,GyroX,GyroY,GyroZ
697060,-268,336,17212,806,-385,111,-515
697069,-344,492,17256,809,-383,80,-537
697078,-372,344,17332,808,-321,66,-542
697087,-304,368,17424,807,-335,55,-519
697186,-176,376,17392,805,-355,25,-552
697195,-248,396,17440,810,-385,20,-543
697204,-140,336,17468,806,-338,36,-564
697213,-196,468,17540,807,-359,38,-581
697222,-288,456,17584,810,-409,80,-554
697231,-240,320,17316,805,-375,36,-569
697240,-288,496,17460,809,-370,32,-577
697249,-272,636,17580,808,-450,81,-544
697258,-248,492,17520,806,-363,49,-593
697267,-180,532,17484,807,-396,39,-596
697366,-156,520,17576,805,-450,75,-596
697375,-288,328,17640,807,-476,62,-589
697384,-172,508,17516,808,-441,40,-597
697393,-184,280,17512,808,-481,87,-622
697402,-176,200,17472,805,-471,34,-636
697411,-176,436,17368,806,-388,-19,-660
697420,-120,168,17476,809,-453,71,-642
697429,-216,640,17616,806,-491,48,-619
697438,-272,380,17236,808,-437,41,-644
697447,-56,372,17312,807,-404,55,-621
697546,-68,604,16916,806,-361,218,-600
697555,-76,400,17316,807,-283,188,-597
697564,-120,328,17324,806,-345,247,-595
697573,-152,288,17240,806,-308,243,-560
697582,-56,228,17220,809,-233,200,-612
697591,-168,428,17188,806,-266,266,-575
697600,-180,300,17392,808,-267,268,-601
697609,-272,256,17288,806,-219,223,-626
697618,-264,388,17372,807,-227,235,-584
697627,-284,320,17536,809,-299,241,-598
697726,-312,484,17820,810,-263,82,-623
697735,-276,304,17656,806,-257,135,-629
697744,-396,324,17772,804,-346,122,-630
697753,-320,368,17696,806,-266,79,-651
697762,-376,376,17620,806,-297,107,-676
697771,-164,360,17460,809,-362,83,-644
697780,-316,432,17712,810,-327,33,-675
697789,-288,344,17588,808,-271,22,-680
697798,-400,388,17448,805,-361,99,-657
697807,-340,540,17620,804,-372,73,-663
697906,-176,520,17644,802,-372,105,-724
697915,-244,352,17564,803,-384,147,-696
697924,-228,316,17592,808,-453,123,-701
697933,-160,456,17732,807,-398,97,-727
697942,-248,440,17700,804,-366,119,-722
697951,-256,604,17452,807,-433,136,-684
697960,-284,384,17752,805,-428,72,-749
697969,-360,676,17472,811,-392,66,-719
697978,-252,672,17820,806,-455,81,-743
697987,-164,472,17624,811,-481,-2,-715
698086,-60,380,17488,807,-496,-76,-706
698095,20,452,17420,807,-458,-60,-668
698104,-68,340,17156,806,-500,-22,-663
698113,-68,388,17324,810,-503,-75,-661
698122,48,320,17180,806,-507,-46,-656
698131,8,412,17416,805,-488,-19,-672
698140,60,328,17216,805,-434,-100,-670
698149,-32,380,17276,807,-459,-40,-668
698158,140,312,17188,802,-520,-31,-664
698167,-52,420,17364,805,-439,-40,-652
698266,-144,316,17440,805,-441,-113,-625
698275,-196,280,17236,808,-540,-62,-590
698284,-100,384,17348,807,-522,-105,-603
698293,-36,236,17224,809,-479,-149,-611
698302,-196,320,17244,809,-503,-118,-614
698311,-248,180,17240,808,-567,-141,-595
698320,-212,404,17308,811,-485,-183,-607
698329,-16,372,17336,807,-509,-161,-596
698338,-136,268,17348,807,-561,-196,-593
698347,-340,276,17360,805,-564,-194,-602
698446,-216,372,17348,808,-462,-249,-613
698455,-280,520,17068,804,-561,-172,-580
698464,-204,436,17384,803,-551,-157,-611
698473,-192,440,17092,807,-532,-182,-566
698482,-196,320,17128,811,-437,-149,-605
698491,-204,440,17148,807,-558,-121,-538
698500,-172,344,17232,807,-507,-134,-568
698509,-204,252,17104,808,-482,-163,-582
698518,-80,500,17024,806,-523,-74,-562
698527,-248,276,17220,810,-524,-121,-574
698626,-272,428,17188,801,-435,-10,-559
698635,-188,396,17356,812,-384,19,-544
698644,-248,420,17168,803,-457,59,-536
698653,-180,584,17276,807,-403,22,-528
698662,-88,456,17212,808,-399,-12,-550
698671,-296,408,17352,811,-495,44,-527
698680,-368,324,17312,808,-461,-10,-533
698689,-176,484,17232,807,-425,-35,-538
698698,-200,416,17328,810,-461,-25,-523
698707,-292,432,17164,810,-500,-5,-536
698806,-232,552,17272,806,-463,-37,-477
698815,-76,368,17232,808,-411,-84,-475
698824,24,412,17272,807,-406,-37,-484
698833,-176,428,17404,808,-451,-49,-468
698842,-244,452,17412,807,-411,-74,-500
698851,-280,548,17224,805,-436,-60,-470
698860,-96,416,16712,810,-477,-9,-480
698869,-188,420,17576,809,-461,-61,-454
698878,-256,588,17172,806,-413,-62,-484
698887,-296,332,17948,805,-419,7,-466
698986,-200,620,17724,800,-351,213,-445
698995,-168,180,17520,808,-332,192,-475
699004,-212,296,17672,806,-283,177,-479
699013,-180,536,17228,806,-343,236,-470
699022,-220,172,17844,801,-343,221,-458
699031,-28,328,17032,808,-300,156,-456
699040,24,220,17960,811,-280,197,-437
699049,-480,336,17304,808,-360,243,-443
699058,-404,488,17692,808,-234,211,-486
699067,-240,140,17684,804,-183,208,-511
699166,-148,384,17600,802,-242,220,-558
699175,-200,328,17624,805,-280,253,-554
699184,-192,512,17360,809,-182,225,-572
699193,-228,416,17888,810,-265,316,-539
699202,-156,484,17428,803,-218,272,-542
699211,-396,492,17516,804,-173,277,-552
699220,-148,444,17480,803,-249,331,-528
699229,-176,404,17452,804,-299,305,-528
699238,-144,364,17560,801,-235,255,-574
699247,-156,316,17504,801,-233,326,-596
699346,-208,376,17688,803,-324,400,-687
699355,-196,436,17596,803,-269,327,-730
699364,-176,368,17804,804,-226,297,-740
699373,-200,504,17508,805,-308,373,-728
699472,-208,432,17820,804,-328,317,-734
699481,-168,384,17804,804,-352,290,-760
699490,-316,368,17632,804,-328,282,-781
699499,-88,268,17608,804,-282,275,-743
699508,-12,280,17612,804,-406,331,-745
699517,-164,372,17596,804,-331,268,-750
699526,16,268,17420,804,-304,264,-779
699535,-32,348,17672,804,-372,262,-721
699544,-208,272,17644,804,-389,251,-789
699553,-244,512,17760,804,-327,220,-784
699562,-164,244,17684,804,-346,275,-755
699571,-204,568,17700,804,-409,264,-763
699580,-76,516,17428,805,-346,193,-755
699589,-16,376,17656,803,-338,195,-767
699598,-168,448,17528,803,-329,182,-738
699607,-176,476,17500,802,-410,201,-733
699706,-76,204,17476,799,-392,45,-779
699715,-204,600,17408,803,-489,106,-758
699724,-260,492,17520,805,-515,65,-748
699733,-332,440,17328,804,-525,53,-766
699742,-112,844,17468,803,-467,32,-734
699751,-100,404,17436,804,-530,77,-690
699760,-188,640,17516,801,-570,53,-691
699769,-40,648,17244,804,-475,17,-689
699778,-12,404,17396,803,-541,68,-686
699787,-220,420,17148,804,-590,34,-701
699886,-220,472,17200,800,-588,-83,-613
699895,-248,96,17188,802,-532,-166,-631
699904,-248,612,17228,805,-537,-118,-604
699913,-172,336,17188,803,-580,-90,-608
699922,-244,340,17344,801,-541,-142,-589
699931,-328,500,17320,800,-476,-185,-605
699940,-372,300,17208,801,-531,-94,-567
