Time(ms),AccX,AccY,AccZ,ADC,GyroX,GyroY,GyroZ
4138,6940,-6608,-1508,2,32767,25178,-22789
4147,5144,-4956,-1096,16,30319,20844,-22489
4156,2956,-3180,864,760,25717,16754,-21754
4165,-20,-1228,2752,757,20726,12915,-20758
4174,-3560,-716,5392,768,16594,9411,-19542
4183,-7060,-1320,6560,776,14061,6235,-18301
4192,-9572,-1724,7580,773,13497,3524,-17015
4201,-10636,-744,7900,776,14028,998,-15931
4300,-17376,1252,-900,771,1465,-11082,-6829
4309,-17696,3208,292,792,556,-11501,-6228
4318,-18700,3160,104,790,-500,-11940,-5711
4327,-19848,4844,-764,790,-1288,-12512,-5202
4336,-20568,6432,-1524,787,-1935,-12965,-4581
4345,-21176,7524,-2016,789,-2366,-13478,-3808
4354,-20492,7220,-2456,795,-2386,-14316,-3017
4363,-20208,5664,-1856,790,-1937,-15169,-2241
4372,-20232,4868,-452,793,-1381,-15843,-1609
4381,-20084,4008,2408,795,-480,-16441,-1277
4480,-24640,7752,5428,790,-632,-15629,688
4489,-24896,6600,5500,814,-1059,-15796,1039
4498,-25636,3368,4692,807,-1570,-15744,1249
4507,-28856,2964,3212,811,-2652,-15827,1347
4516,-31296,4080,3856,815,-2495,-15929,1566
4525,-29228,4308,4984,814,-2574,-15680,1677
4534,-26168,3568,6492,809,-2945,-15344,1642
4543,-22860,2388,6724,817,-2388,-15195,1557
4552,-19884,2216,6860,813,-217,-15397,1548
4561,-20180,2716,4884,818,1075,-15421,1657
4660,-14048,3476,10304,817,-2712,-12891,2020
4669,-13380,2240,8888,836,-1925,-13119,2030
4678,-14028,2164,7880,844,-687,-13230,2073
4687,-16564,3396,6868,842,792,-12940,2049
4696,-19372,3436,7020,843,1923,-12476,2069
4705,-19024,3080,7768,843,2311,-11894,2270
4714,-17344,940,9600,847,1749,-11731,2666
4723,-17756,1408,8592,843,1123,-11904,3059
4732,-19368,396,5468,841,785,-11921,3366
4741,-22824,556,2036,845,785,-11983,3775
4840,-32104,4832,-828,844,-25150,-12289,17439
4849,-32392,2304,-548,929,-26348,-11688,18072
4858,-31580,-816,936,873,-25691,-10814,18580
4867,-31180,-1236,3656,859,-22958,-9788,19098
4876,-30408,-972,3620,857,-18636,-9025,19642
4885,-29916,492,6340,848,-15326,-8183,20112
4894,-27924,4452,10308,4,-13224,-7092,20567
4903,-25788,5200,9212,3,-11241,-6608,21259
4912,-23076,4040,9628,2,-9812,-6304,21963
4921,-19868,2852,9240,2,-8127,-5826,22534
5020,-18408,18292,32080,1,-32768,2344,22347
5029,-18148,11096,32767,0,-30498,5103,21340
5038,-12684,3440,32552,2,-10485,8868,20518
5047,-5616,3144,31976,2,15825,13626,19734
5056,1352,8044,29328,2,32767,19405,18642
5065,6252,14092,23452,4,32767,25431,17139
5074,8268,15952,18184,1058,32767,31137,15115
5083,8396,15572,12980,827,32767,32767,12764
5092,8552,13992,9080,783,32767,32767,10126
5101,9000,12684,5996,777,32767,32767,7598
5200,5204,-5892,20,776,32767,24385,-23755
5209,5384,-3580,600,773,31241,20181,-23387
5218,5320,-1304,1348,770,26286,16176,-22712
5227,4368,-1580,2472,769,22262,12482,-21821
5236,2112,-1376,3748,768,19330,9193,-20615
5245,-320,-1020,4636,769,16688,6248,-19398
5254,-2120,-100,5784,773,14376,3496,-18218
5263,-3668,744,7292,775,11877,984,-17011
5272,-4432,1076,6928,772,9312,-1092,-15828
5281,-4864,752,7696,776,7272,-3158,-14653
5380,-19876,4360,2956,769,-1299,-13142,-3913
5389,-19072,5336,2532,786,-2182,-13868,-3114
